video başlığı,YouTube URL,video ID,kanal,tarih,dil,altyazı türü,TXT dosyası
"""Herkesi İlgilendirecek..."" - Doktor Kudret Abi",https://www.youtube.com/watch?v=SK9cyJTmMxk,SK9cyJTmMxk,Nur Neva ,2024-01-15,tr,otomatik,367_Herkesi_İlgilendirecek..._Doktor_Kudret_Abi.txt
Harika bir sohbet kaydı geliyor.,https://www.youtube.com/watch?v=NXIfINB4IcU,NXIfINB4IcU,Nur Neva ,2024-01-15,tr,otomatik,368_Harika_bir_sohbet_kaydı_geliyor..txt
"""Bu Takke Aslında..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=zzsjW2up8TI,zzsjW2up8TI,Nur Neva ,2024-01-13,tr,otomatik,369_Bu_Takke_Aslında..._Nevzat_Ayvacı.txt
"""Hizmet, Gömleğini Gönderse..."" - Mehmet Akar",https://www.youtube.com/watch?v=jNznlqBbPPI,jNznlqBbPPI,Nur Neva ,2024-01-13,tr,otomatik,"370_Hizmet,_Gömleğini_Gönderse..._Mehmet_Akar.txt"
"""Muhterem Hocaefendi Doğu'daki Okul İçin Dedi ki: Bin Defa da ..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=cBEjscYuru4,cBEjscYuru4,Nur Neva ,2024-01-11,tr,otomatik,371_Muhterem_Hocaefendi_Doğu'daki_Okul_İçin_Dedi_ki_Bin_Defa_da_..._Nevzat_Ayvacı.txt
"""Skor Önemli Degildir!"" - M. Nedim Hazar",https://www.youtube.com/watch?v=zcLGw5dMkSw,zcLGw5dMkSw,Nur Neva ,2024-01-08,tr,otomatik,372_Skor_Önemli_Degildir!_M._Nedim_Hazar.txt
"""Bediüzzaman Öyle Muhteşem..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=yj9AYm4V7Wg,yj9AYm4V7Wg,Nur Neva ,2024-01-08,tr,otomatik,373_Bediüzzaman_Öyle_Muhteşem..._M._Nedim_Hazar.txt
"""50 Yıl Yetmez..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=LYGQ-YB4wu4,LYGQ-YB4wu4,Nur Neva ,2024-01-08,tr,otomatik,374_50_Yıl_Yetmez..._M._Nedim_Hazar.txt
"""Ne Kadar Önemli Bir Davanın Altında Olduğunu..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=OxqGI7HdSlI,OxqGI7HdSlI,Nur Neva ,2024-01-08,tr,otomatik,375_Ne_Kadar_Önemli_Bir_Davanın_Altında_Olduğunu..._M._Nedim_Hazar.txt
"""Bir Film Düşünün Sadece Bu Sahneyi..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=vk3UcX_FpKw,vk3UcX_FpKw,Nur Neva ,2024-01-08,tr,otomatik,376_Bir_Film_Düşünün_Sadece_Bu_Sahneyi..._M._Nedim_Hazar.txt
"""Hocaefendi'ye Olan Sevgi Anlamaktan Değil Hissetmekten..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=dl-niY4tt_0,dl-niY4tt_0,Nur Neva ,2024-01-08,tr,otomatik,377_Hocaefendi'ye_Olan_Sevgi_Anlamaktan_Değil_Hissetmekten..._M._Nedim_Hazar.txt
"""Peygamberlerin Birer Sanatçı Olduğu..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=xMKTmZ1w0x0,xMKTmZ1w0x0,Nur Neva ,2024-01-08,tr,otomatik,378_Peygamberlerin_Birer_Sanatçı_Olduğu..._M._Nedim_Hazar.txt
"""Her İman Eden..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=0Tew5aXdcBQ,0Tew5aXdcBQ,Nur Neva ,2024-01-08,tr,otomatik,379_Her_İman_Eden..._M._Nedim_Hazar.txt
"""Kur'an'daki Boş Gezen..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=nGjQTmhRid0,nGjQTmhRid0,Nur Neva ,2024-01-08,tr,otomatik,380_Kur'an'daki_Boş_Gezen..._M._Nedim_Hazar.txt
"""Kur'an'daki Karakterler..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=iptTiADfBiM,iptTiADfBiM,Nur Neva ,2024-01-08,tr,otomatik,381_Kur'an'daki_Karakterler..._M._Nedim_Hazar.txt
"""Hapishaneden Mektup: Her gün Tesbih Namazı ve Tek Başına 4444 Tefriciye..."" - Cemil Tokpınar",https://www.youtube.com/watch?v=wDmYrZ-l6Iw,wDmYrZ-l6Iw,Nur Neva ,2024-01-06,tr,otomatik,382_Hapishaneden_Mektup_Her_gün_Tesbih_Namazı_ve_Tek_Başına_4444_Tefriciye..._Cemil.txt
"""Film-el Yakin..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=iQyLFk3acUA,iQyLFk3acUA,Nur Neva ,2024-01-05,tr,otomatik,383_Film_el_Yakin..._M._Nedim_Hazar.txt
"""Christopher Nolan: Bir yönetmenden çok daha fazlası..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=vgBbyS6wM5E,vgBbyS6wM5E,Nur Neva ,2024-01-05,tr,otomatik,384_Christopher_Nolan_Bir_yönetmenden_çok_daha_fazlası..._M._Nedim_Hazar.txt
"""Inception, Interstellar ve Nolan"" - M. Nedim Hazar",https://www.youtube.com/watch?v=H3hNKeJkzqk,H3hNKeJkzqk,Nur Neva ,2024-01-05,tr,otomatik,"385_Inception,_Interstellar_ve_Nolan_M._Nedim_Hazar.txt"
"""Gözümü Bir Açtım...."" - M. Nedim Hazar",https://www.youtube.com/watch?v=2nEcBc_6iwk,2nEcBc_6iwk,Nur Neva ,2024-01-05,tr,otomatik,386_Gözümü_Bir_Açtım...._M._Nedim_Hazar.txt
"""Hollywood'un Kuruluş Amacı...."" - M. Nedim Hazar",https://www.youtube.com/watch?v=kMnRvfHs4Jg,kMnRvfHs4Jg,Nur Neva ,2024-01-05,tr,otomatik,387_Hollywood'un_Kuruluş_Amacı...._M._Nedim_Hazar.txt
"""Bir Harry Potter'ımız olsaydı..."" - M. Nedim Hazar",https://www.youtube.com/watch?v=hrgYc5cZn8Y,hrgYc5cZn8Y,Nur Neva ,2024-01-04,tr,otomatik,388_Bir_Harry_Potter'ımız_olsaydı..._M._Nedim_Hazar.txt
"""Christopher Nolan = Descartes, Hegel, Hobbes, Diderot, Kant vs…"" - M. Nedim Hazar",https://www.youtube.com/watch?v=PLhYzqGTjPM,PLhYzqGTjPM,Nur Neva ,2024-01-04,tr,otomatik,"389_Christopher_Nolan_=_Descartes,_Hegel,_Hobbes,_Diderot,_Kant_vs…_M._Nedim_Hazar.txt"
"""Fatihalar Adres Şaşırmaz - Yeraltında Mesafe Yoktur"" - Ahmet Özer",https://www.youtube.com/watch?v=_TvVqJpYcag,_TvVqJpYcag,Nur Neva ,2024-01-03,tr,otomatik,390_Fatihalar_Adres_Şaşırmaz_Yeraltında_Mesafe_Yoktur_Ahmet_Özer.txt
"""Muhterem Hocaefendi'nin Elbisesinde Kuşgözü Kadar Bile..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=eBQs_plgmfs,eBQs_plgmfs,Nur Neva ,2024-01-02,tr,otomatik,391_Muhterem_Hocaefendi'nin_Elbisesinde_Kuşgözü_Kadar_Bile..._Dr._İsmail_Büyükçelebi.txt
Denizli'den Ayrılık Destanı - ( Türkân Rukayye kanalından alıntıdır. Link açıklamada),https://www.youtube.com/watch?v=GzgxcWBAvdQ,GzgxcWBAvdQ,Nur Neva ,2024-01-01,tr,otomatik,392_Denizli'den_Ayrılık_Destanı_(_Türkân_Rukayye_kanalından_alıntıdır._Link_açıklama.txt
"""Ya Siz Kur'an Okuyorken Kainatın Kodu Açılıyorsa..."" - Dr. Ecir Eşiyok",https://www.youtube.com/watch?v=ACYyI5uN-sQ,ACYyI5uN-sQ,Nur Neva ,2024-01-01,tr,otomatik,393_Ya_Siz_Kur'an_Okuyorken_Kainatın_Kodu_Açılıyorsa..._Dr._Ecir_Eşiyok.txt
"""Ben Burada Seneler Önce..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=01gcbp4B6Y4,01gcbp4B6Y4,Nur Neva ,2024-01-01,tr,otomatik,394_Ben_Burada_Seneler_Önce..._Dr._İsmail_Büyükçelebi.txt
"""Muhterem Hocaefendi: Kot Pantolon Tam Bize Göre..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=I8OqBizAPAA,I8OqBizAPAA,Nur Neva ,2023-12-31,tr,otomatik,395_Muhterem_Hocaefendi_Kot_Pantolon_Tam_Bize_Göre..._Nevzat_Ayvacı.txt
"""Akşam Yemeğinden Sonra Masada Bir..."" - Çok Latif Bir Hatıra",https://www.youtube.com/watch?v=bXzUqfaT6nY,bXzUqfaT6nY,Nur Neva ,2023-12-31,tr,otomatik,396_Akşam_Yemeğinden_Sonra_Masada_Bir..._Çok_Latif_Bir_Hatıra.txt
"""Taa Nahçıvan Hududuna Kadar..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=vgoVCpt-80g,vgoVCpt-80g,Nur Neva ,2023-12-31,tr,otomatik,397_Taa_Nahçıvan_Hududuna_Kadar..._Dr._İsmail_Büyükçelebi.txt
"""Ne Güzel Ahlak!..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=QXNHE3jFZQA,QXNHE3jFZQA,Nur Neva ,2023-12-31,tr,otomatik,398_Ne_Güzel_Ahlak!..._Dr._İsmail_Büyükçelebi.txt
"""Bir Pantolon da Sana..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=C9taKYvSuhM,C9taKYvSuhM,Nur Neva ,2023-12-31,tr,otomatik,399_Bir_Pantolon_da_Sana..._Dr._İsmail_Büyükçelebi.txt
"""Muhterem Hocaefendi, Ortaokul Talebesine Bile..."" - Dr. İsmail Büyükçelebi",https://www.youtube.com/watch?v=LaDS6NMrK9k,LaDS6NMrK9k,Nur Neva ,2023-12-31,tr,otomatik,"400_Muhterem_Hocaefendi,_Ortaokul_Talebesine_Bile..._Dr._İsmail_Büyükçelebi.txt"
"""Kendimizi Çok Ciddiye..."" - Aysal Aytaç",https://www.youtube.com/watch?v=tCVKag4VYRo,tCVKag4VYRo,Nur Neva ,2023-12-29,tr,otomatik,401_Kendimizi_Çok_Ciddiye..._Aysal_Aytaç.txt
"""Bir Gün Muhterem Hocaefendi'ye Sordum..."" - Nevzat Ayvacı",https://www.youtube.com/watch?v=xGmB60wTUqs,xGmB60wTUqs,Nur Neva ,2023-12-26,tr,otomatik,402_Bir_Gün_Muhterem_Hocaefendi'ye_Sordum..._Nevzat_Ayvacı.txt
"""Allah dilerse bulunduğun halden çıkarmadan da istediğin ameli sana lütfeder"" -  Ayhan Tekineş",https://www.youtube.com/watch?v=n9Zp2XoTMWs,n9Zp2XoTMWs,Nur Neva ,2023-12-25,tr,otomatik,403_Allah_dilerse_bulunduğun_halden_çıkarmadan_da_istediğin_ameli_sana_lütfeder_Ayha.txt
"""Sende 10 Dahinin Kuvveti..."" - Mehmet Akar",https://www.youtube.com/watch?v=tZ8Byk14VMI,tZ8Byk14VMI,Nur Neva ,2023-12-22,tr,otomatik,404_Sende_10_Dahinin_Kuvveti..._Mehmet_Akar.txt
